_id,text
ObjectId("5e28fe3f9f32ef20387f42d0"),RT @lasillarota: El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42d1"),RT @lasillarota: El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42d2"),El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42d3"),RT @arthurvago: @Emmanuel_CDMX ¿Por qué no le dijiste "fuchi, guacala" al ratero? ¡Con eso hubieras evitado el asalto!
ObjectId("5e28fe3f9f32ef20387f42d4"),@KcChiefsMexico Buen día a todos, el día de hoy algún punto de reunión para ver a los Chiefs VS Titans en la CDMX ❓
ObjectId("5e28fe3f9f32ef20387f42d5"),Un hombre murió y otro quedó lesionado ayer, luego de que ambos fueran baleados en un asalto al llegar a un domicil… https://t.co/8PJNcRfbvD
ObjectId("5e28fe3f9f32ef20387f42d6"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42d7"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42d8"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42d9"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42da"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42db"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42dc"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42dd"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42de"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42df"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e0"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e1"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e2"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e3"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e4"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e5"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e6"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e7"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e8"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42e9"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42ea"),RT @xjusticianimal: “Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42eb"),“Nos quitaron a nuestro husky”: Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/08DeCh9YsS
ObjectId("5e28fe3f9f32ef20387f42ec"),RT @CapitalMX_: #LoMásLeído Alertan sobre nueva forma de asalto en Iztapalapa: distraen con una chica con flores https://t.co/1w3cDlUHCn
ObjectId("5e28fe3f9f32ef20387f42ed"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
